       x       rho           u      p
    0.3400    0.7577    0.3193    0.6781
    0.3420    0.7521    0.3277    0.6711
    0.3440    0.7465    0.3360    0.6641
    0.3460    0.7409    0.3443    0.6572
    0.3480    0.7354    0.3527    0.6503
    0.3500    0.7299    0.3610    0.6436
    0.3520    0.7245    0.3693    0.6368
    0.3540    0.7190    0.3777    0.6302
    0.3560    0.7136    0.3860    0.6236
    0.3580    0.7083    0.3943    0.6170
    0.3600    0.7030    0.4027    0.6105
    0.3620    0.6977    0.4110    0.6041
    0.3640    0.6924    0.4193    0.5977
    0.3660    0.6872    0.4277    0.5914
    0.3680    0.6820    0.4360    0.5851
    0.3700    0.6768    0.4443    0.5789
    0.3720    0.6717    0.4527    0.5728
    0.3740    0.6665    0.4610    0.5667
    0.3760    0.6615    0.4693    0.5607
    0.3780    0.6564    0.4777    0.5547
    0.3800    0.6514    0.4860    0.5488
    0.3820    0.6464    0.4943    0.5429
    0.3840    0.6415    0.5027    0.5371
    0.3860    0.6366    0.5110    0.5313
    0.3880    0.6317    0.5193    0.5256
    0.3900    0.6268    0.5277    0.5200
    0.3920    0.6220    0.5360    0.5144
    0.3940    0.6172    0.5443    0.5088
    0.3960    0.6124    0.5527    0.5033
    0.3980    0.6077    0.5610    0.4979
    0.4000    0.6029    0.5693    0.4925
    0.4020    0.5983    0.5777    0.4871
    0.4040    0.5936    0.5860    0.4818
    0.4060    0.5890    0.5943    0.4766
    0.4080    0.5844    0.6027    0.4714
    0.4100    0.5798    0.6110    0.4662
    0.4120    0.5753    0.6193    0.4611
    0.4140    0.5708    0.6277    0.4561
    0.4160    0.5663    0.6360    0.4511
    0.4180    0.5618    0.6443    0.4461
    0.4200    0.5574    0.6527    0.4412
    0.4220    0.5530    0.6610    0.4363
    0.4240    0.5486    0.6693    0.4315
    0.4260    0.5443    0.6777    0.4267
    0.4280    0.5400    0.6860    0.4220
    0.4300    0.5357    0.6943    0.4173
    0.4320    0.5314    0.7027    0.4127
