      x        rho           u     p
    0.3360    0.7707    0.3000    0.6946
    0.3380    0.7652    0.3082    0.6876
    0.3400    0.7596    0.3164    0.6806
    0.3420    0.7541    0.3245    0.6737
    0.3440    0.7486    0.3327    0.6668
    0.3460    0.7431    0.3409    0.6600
    0.3480    0.7377    0.3491    0.6533
    0.3500    0.7322    0.3573    0.6466
    0.3520    0.7269    0.3655    0.6399
    0.3540    0.7215    0.3737    0.6334
    0.3560    0.7162    0.3819    0.6268
    0.3580    0.7109    0.3901    0.6203
    0.3600    0.7056    0.3983    0.6139
    0.3620    0.7004    0.4065    0.6076
    0.3640    0.6952    0.4147    0.6013
    0.3660    0.6900    0.4229    0.5950
    0.3680    0.6848    0.4311    0.5888
    0.3700    0.6797    0.4393    0.5827
    0.3720    0.6746    0.4475    0.5766
    0.3740    0.6696    0.4557    0.5705
    0.3760    0.6646    0.4640    0.5645
    0.3780    0.6596    0.4722    0.5586
    0.3800    0.6546    0.4804    0.5527
    0.3820    0.6496    0.4886    0.5469
    0.3840    0.6447    0.4968    0.5411
    0.3860    0.6399    0.5051    0.5354
    0.3880    0.6350    0.5133    0.5297
    0.3900    0.6302    0.5215    0.5241
    0.3920    0.6254    0.5297    0.5186
    0.3940    0.6206    0.5380    0.5130
    0.3960    0.6159    0.5462    0.5076
    0.3980    0.6112    0.5544    0.5022
    0.4000    0.6065    0.5626    0.4968
    0.4020    0.6019    0.5708    0.4915
    0.4040    0.5973    0.5790    0.4862
    0.4060    0.5927    0.5872    0.4810
    0.4080    0.5881    0.5955    0.4759
    0.4100    0.5836    0.6037    0.4707
    0.4120    0.5791    0.6119    0.4657
    0.4140    0.5746    0.6201    0.4607
    0.4160    0.5702    0.6282    0.4557
    0.4180    0.5658    0.6364    0.4508
    0.4200    0.5614    0.6446    0.4459
    0.4220    0.5571    0.6528    0.4411
    0.4240    0.5528    0.6610    0.4363
    0.4260    0.5485    0.6691    0.4316
    0.4280    0.5442    0.6773    0.4269
    0.4300    0.5400    0.6854    0.4223
    0.4320    0.5358    0.6936    0.4177
    0.4340    0.5316    0.7017    0.4132
    0.4360    0.5275    0.7098    0.4087
    0.4380    0.5234    0.7179    0.4043
    0.4400    0.5193    0.7260    0.3999
    0.4420    0.5153    0.7341    0.3956
    0.4440    0.5113    0.7421    0.3913
    0.4460    0.5074    0.7502    0.3870
    0.4480    0.5034    0.7582    0.3829
    0.4500    0.4995    0.7662    0.3787
    0.4520    0.4957    0.7741    0.3747
    0.4540    0.4919    0.7820    0.3706
    0.4560    0.4881    0.7899    0.3667
    0.4580    0.4844    0.7977    0.3628
    0.4600    0.4807    0.8055    0.3589
    0.4620    0.4771    0.8132    0.3552
    0.4640    0.4735    0.8209    0.3514
    0.4660    0.4700    0.8285    0.3478
    0.4680    0.4666    0.8360    0.3442
    0.4700    0.4632    0.8433    0.3408
    0.4720    0.4599    0.8506    0.3374
    0.4740    0.4566    0.8577    0.3341
    0.4760    0.4535    0.8647    0.3309
    0.4780    0.4505    0.8714    0.3278
    0.4800    0.4476    0.8779    0.3248
    0.4820    0.4448    0.8842    0.3220
    0.4840    0.4422    0.8901    0.3194
    0.4860    0.4397    0.8957    0.3169
    0.4880    0.4374    0.9009    0.3146
    0.4900    0.4353    0.9057    0.3125
    0.4920    0.4335    0.9100    0.3106
    0.4940    0.4319    0.9138    0.3090
    0.4960    0.4305    0.9170    0.3076
    0.4980    0.4293    0.9197    0.3065
    0.5000    0.4284    0.9218    0.3055
    0.5020    0.4277    0.9235    0.3048
    0.5040    0.4271    0.9247    0.3043
    0.5060    0.4267    0.9256    0.3039
    0.5080    0.4265    0.9262    0.3036
    0.5100    0.4263    0.9266    0.3035
    0.5120    0.4262    0.9269    0.3034
    0.5140    0.4261    0.9270    0.3033
    0.5160    0.4261    0.9271    0.3033
    0.5180    0.4261    0.9271    0.3033
    0.5200    0.4261    0.9271    0.3033
    0.5220    0.4261    0.9271    0.3033
    0.5240    0.4261    0.9271    0.3033
    0.5260    0.4261    0.9271    0.3033
    0.5280    0.4261    0.9271    0.3033
    0.5300    0.4260    0.9271    0.3033
    0.5320    0.4260    0.9271    0.3033
    0.5340    0.4260    0.9271    0.3033
    0.5360    0.4260    0.9271    0.3033
    0.5380    0.4260    0.9271    0.3033
    0.5400    0.4260    0.9271    0.3033
    0.5420    0.4260    0.9271    0.3033
    0.5440    0.4260    0.9271    0.3033
    0.5460    0.4260    0.9271    0.3033
    0.5480    0.4260    0.9271    0.3033
    0.5500    0.4260    0.9271    0.3033
    0.5520    0.4260    0.9271    0.3033
    0.5540    0.4260    0.9271    0.3033
    0.5560    0.4260    0.9271    0.3033
    0.5580    0.4260    0.9271    0.3033
    0.5600    0.4260    0.9271    0.3033
    0.5620    0.4260    0.9271    0.3033
    0.5640    0.4259    0.9271    0.3033
    0.5660    0.4259    0.9271    0.3033
    0.5680    0.4259    0.9271    0.3033
    0.5700    0.4259    0.9271    0.3033
    0.5720    0.4259    0.9271    0.3033
    0.5740    0.4259    0.9271    0.3033
    0.5760    0.4259    0.9271    0.3033
    0.5780    0.4259    0.9271    0.3033
    0.5800    0.4259    0.9271    0.3033
    0.5820    0.4259    0.9271    0.3033
    0.5840    0.4258    0.9271    0.3033
    0.5860    0.4258    0.9271    0.3033
    0.5880    0.4258    0.9271    0.3033
    0.5900    0.4258    0.9271    0.3033
    0.5920    0.4258    0.9271    0.3033
    0.5940    0.4258    0.9271    0.3033
    0.5960    0.4258    0.9271    0.3033
    0.5980    0.4258    0.9271    0.3033
    0.6000    0.4257    0.9271    0.3033
    0.6020    0.4257    0.9271    0.3033
    0.6040    0.4257    0.9271    0.3033
    0.6060    0.4257    0.9271    0.3033
    0.6080    0.4257    0.9271    0.3033
    0.6100    0.4257    0.9271    0.3033
    0.6120    0.4256    0.9271    0.3033
    0.6140    0.4256    0.9271    0.3033
    0.6160    0.4256    0.9271    0.3033
    0.6180    0.4256    0.9271    0.3033
    0.6200    0.4255    0.9271    0.3033
    0.6220    0.4255    0.9271    0.3033
    0.6240    0.4255    0.9271    0.3033
    0.6260    0.4255    0.9271    0.3033
    0.6280    0.4254    0.9271    0.3033
    0.6300    0.4254    0.9271    0.3033
    0.6320    0.4253    0.9271    0.3033
    0.6340    0.4253    0.9271    0.3033
    0.6360    0.4253    0.9271    0.3033
    0.6380    0.4252    0.9271    0.3033
    0.6400    0.4252    0.9271    0.3033
    0.6420    0.4251    0.9271    0.3033
    0.6440    0.4250    0.9271    0.3033
    0.6460    0.4250    0.9271    0.3033
    0.6480    0.4249    0.9271    0.3033
    0.6500    0.4248    0.9271    0.3033
    0.6520    0.4247    0.9271    0.3033
    0.6540    0.4245    0.9271    0.3033
    0.6560    0.4243    0.9271    0.3033
    0.6580    0.4240    0.9271    0.3033
    0.6600    0.4236    0.9271    0.3033
