      x        rho           u     p
    0.3400    0.7580    0.3192    0.6785
    0.3420    0.7522    0.3272    0.6712
    0.3440    0.7468    0.3358    0.6645
    0.3460    0.7411    0.3439    0.6574
    0.3480    0.7357    0.3524    0.6507
    0.3500    0.7302    0.3606    0.6438
    0.3520    0.7247    0.3689    0.6371
    0.3540    0.7194    0.3775    0.6306
    0.3560    0.7138    0.3854    0.6238
    0.3580    0.7086    0.3940    0.6174
    0.3600    0.7032    0.4022    0.6108
    0.3620    0.6979    0.4105    0.6044
    0.3640    0.6927    0.4189    0.5981
    0.3660    0.6874    0.4271    0.5917
    0.3680    0.6824    0.4357    0.5856
    0.3700    0.6770    0.4437    0.5792
    0.3720    0.6721    0.4523    0.5733
    0.3740    0.6669    0.4604    0.5671
    0.3760    0.6618    0.4688    0.5611
    0.3780    0.6569    0.4772    0.5552
    0.3800    0.6517    0.4853    0.5491
    0.3820    0.6469    0.4939    0.5435
    0.3840    0.6418    0.5020    0.5375
    0.3860    0.6370    0.5104    0.5318
    0.3880    0.6321    0.5188    0.5262
    0.3900    0.6272    0.5268    0.5204
    0.3920    0.6225    0.5354    0.5149
    0.3940    0.6177    0.5435    0.5093
    0.3960    0.6129    0.5518    0.5038
    0.3980    0.6082    0.5603    0.4985
    0.4000    0.6034    0.5684    0.4929
    0.4020    0.5987    0.5768    0.4876
    0.4040    0.5942    0.5853    0.4825
    0.4060    0.5894    0.5934    0.4771
    0.4080    0.5849    0.6018    0.4719
    0.4100    0.5804    0.6102    0.4669
    0.4120    0.5757    0.6183    0.4616
    0.4140    0.5712    0.6268    0.4567
    0.4160    0.5668    0.6351    0.4517
    0.4180    0.5623    0.6433    0.4466
    0.4200    0.5580    0.6518    0.4418
    0.4220    0.5535    0.6600    0.4369
    0.4240    0.5491    0.6683    0.4321
    0.4260    0.5449    0.6768    0.4274
    0.4280    0.5405    0.6849    0.4226
    0.4300    0.5362    0.6933    0.4179
    0.4320    0.5320    0.7017    0.4134
    0.4340    0.5277    0.7098    0.4086
    0.4360    0.5236    0.7182    0.4041
    0.4380    0.5194    0.7267    0.3997
    0.4400    0.5152    0.7347    0.3951
    0.4420    0.5111    0.7432    0.3908
    0.4440    0.5070    0.7516    0.3864
    0.4460    0.5029    0.7597    0.3820
    0.4480    0.4989    0.7681    0.3778
    0.4500    0.4949    0.7765    0.3736
    0.4520    0.4909    0.7846    0.3693
    0.4540    0.4869    0.7929    0.3651
    0.4560    0.4831    0.8014    0.3611
    0.4580    0.4791    0.8095    0.3570
    0.4600    0.4752    0.8177    0.3529
    0.4620    0.4715    0.8262    0.3490
    0.4640    0.4677    0.8344    0.3451
    0.4660    0.4638    0.8425    0.3411
    0.4680    0.4601    0.8509    0.3373
    0.4700    0.4564    0.8591    0.3335
    0.4720    0.4526    0.8671    0.3296
    0.4740    0.4490    0.8755    0.3260
    0.4760    0.4454    0.8836    0.3224
    0.4780    0.4418    0.8915    0.3187
    0.4800    0.4384    0.8995    0.3152
    0.4820    0.4351    0.9073    0.3119
    0.4840    0.4319    0.9143    0.3087
    0.4860    0.4294    0.9203    0.3062
    0.4880    0.4279    0.9239    0.3048
    0.4900    0.4274    0.9248    0.3042
    0.4920    0.4274    0.9249    0.3042
    0.4940    0.4274    0.9251    0.3042
    0.4960    0.4274    0.9250    0.3042
    0.4980    0.4273    0.9249    0.3041
    0.5000    0.4274    0.9251    0.3042
    0.5020    0.4274    0.9251    0.3042
    0.5040    0.4273    0.9249    0.3041
    0.5060    0.4273    0.9251    0.3041
    0.5080    0.4273    0.9254    0.3041
    0.5100    0.4272    0.9255    0.3040
    0.5120    0.4271    0.9253    0.3039
    0.5140    0.4276    0.9246    0.3044
    0.5160    0.4279    0.9240    0.3047
    0.5180    0.4275    0.9243    0.3044
    0.5200    0.4274    0.9247    0.3042
    0.5220    0.4275    0.9249    0.3043
    0.5240    0.4274    0.9248    0.3043
    0.5260    0.4274    0.9247    0.3042
    0.5280    0.4275    0.9249    0.3043
    0.5300    0.4275    0.9249    0.3043
    0.5320    0.4274    0.9247    0.3042
    0.5340    0.4275    0.9249    0.3043
    0.5360    0.4274    0.9249    0.3043
    0.5380    0.4274    0.9247    0.3042
    0.5400    0.4274    0.9248    0.3043
    0.5420    0.4275    0.9249    0.3043
    0.5440    0.4274    0.9247    0.3042
    0.5460    0.4274    0.9248    0.3042
    0.5480    0.4275    0.9249    0.3043
    0.5500    0.4274    0.9247    0.3042
    0.5520    0.4274    0.9247    0.3042
    0.5540    0.4275    0.9249    0.3043
    0.5560    0.4274    0.9248    0.3043
    0.5580    0.4274    0.9247    0.3042
    0.5600    0.4275    0.9249    0.3043
    0.5620    0.4275    0.9249    0.3043
    0.5640    0.4274    0.9247    0.3042
    0.5660    0.4274    0.9247    0.3042
    0.5680    0.4275    0.9249    0.3043
    0.5700    0.4274    0.9248    0.3043
    0.5720    0.4274    0.9247    0.3042
    0.5740    0.4275    0.9249    0.3043
    0.5760    0.4275    0.9249    0.3043
    0.5780    0.4274    0.9247    0.3042
    0.5800    0.4274    0.9248    0.3042
    0.5820    0.4275    0.9250    0.3043
    0.5840    0.4274    0.9248    0.3042
    0.5860    0.4274    0.9247    0.3042
    0.5880    0.4275    0.9249    0.3043
    0.5900    0.4275    0.9248    0.3043
    0.5920    0.4274    0.9247    0.3042
    0.5940    0.4275    0.9249    0.3043
    0.5960    0.4275    0.9249    0.3043
    0.5980    0.4274    0.9247    0.3042
    0.6000    0.4274    0.9248    0.3043
    0.6020    0.4275    0.9249    0.3043
    0.6040    0.4274    0.9247    0.3042
    0.6060    0.4274    0.9248    0.3042
    0.6080    0.4275    0.9249    0.3043
    0.6100    0.4274    0.9248    0.3042
    0.6120    0.4274    0.9247    0.3042
    0.6140    0.4275    0.9249    0.3043
    0.6160    0.4275    0.9249    0.3043
    0.6180    0.4274    0.9247    0.3042
    0.6200    0.4274    0.9248    0.3042
    0.6220    0.4275    0.9250    0.3043
    0.6240    0.4274    0.9248    0.3042
    0.6260    0.4274    0.9246    0.3042
